Mobile_name,Brand,Price,OS,Usage,Reviews,Purchase_link,Sentiment_Score
OnePlus 12R,OnePlus,141095.11,Android,gaming,"Unexpectedly impressive performance quality and the screen works flawlessly even under stress.||Nothing special but design and portability work normally for basic phone requirements.||Surprisingly strong performance and the audio performs far better than I expected initially.||The heating feels okay and the audio delivers a standard experience overall.||Unexpectedly impressive design quality and the audio works flawlessly even under stress.||Weak charging paired with inconsistent usability results in an unsatisfying experience daily.||The usability is horrible and the display makes the entire device annoying to use.||Wow, the audio performance and the software efficiency were much better than expected.||The usability underperforms sometimes and the heating feels weaker than expected overall.||Average screen performance paired with a stable battery suitable for casual users.||Terrible screen performance and the battery feels broken, this phone is unacceptable.||Did not expect such great audio and battery, this phone truly shocked me.||Amazing surprise with the excellent usability and the audio functioning smoothly always.||The software underperforms sometimes and the heating feels weaker than expected overall.",https://www.amazon.in/oneplus,50.0
Pixel 9 Pro,Google,9310.45,Android,casual,"Bad camera with extremely poor display, this phone should be avoided at all costs.||Disappointed with the slow heating and the audio which struggles during long use.||Moderate battery and acceptable portability, suitable for everyday simple activities.||The charging feels okay and the display delivers a standard experience overall.||The audio is poor and the portability does not offer good reliability sadly.||Moderate charging and acceptable software, suitable for everyday simple activities.||Very frustrating portability and the heating constantly lags making usage extremely irritating.||Amazing battery and usability combination, making this phone feel premium and fast.||Weak design paired with inconsistent charging results in an unsatisfying experience daily.||Weak charging paired with inconsistent software results in an unsatisfying experience daily.||Surprisingly strong screen and the display performs far better than I expected initially.||The audio feels okay and the usability delivers a standard experience overall.||Bad battery with extremely poor charging, this phone should be avoided at all costs.||The portability underperforms sometimes and the battery feels weaker than expected overall.",https://www.flipkart.com/google-phones,40.0
Realme 12 Pro,Realme,121354.88,Android,gaming,"The heating is fine and the display works decently for normal tasks daily.||Amazing surprise with the excellent battery and the display functioning smoothly always.||Amazing surprise with the excellent charging and the design functioning smoothly always.||Nothing special but charging and design work normally for basic phone requirements.||The audio is poor and the screen does not offer good reliability sadly.||Average display performance paired with a stable software suitable for casual users.||Disappointed with the slow usability and the screen which struggles during long use.||Moderate design and acceptable charging, suitable for everyday simple activities.||The heating underperforms sometimes and the audio feels weaker than expected overall.||Weak screen paired with inconsistent performance results in an unsatisfying experience daily.",https://www.amazon.in/realme,50.0
Pixel 9a,Google,158426.88,Android,casual,"The display is impressive and the usability performance feels smooth during everyday use.||The camera is poor and the audio does not offer good reliability sadly.||Average design performance paired with a stable heating suitable for casual users.||Moderate display and acceptable design, suitable for everyday simple activities.||Excellent charging quality and the display makes the phone enjoyable for long usage.||The display is fine and the battery works decently for normal tasks daily.||Amazing screen and performance combination, making this phone feel premium and fast.||Weak performance paired with inconsistent portability results in an unsatisfying experience daily.||Bad performance with extremely poor screen, this phone should be avoided at all costs.||Weak battery paired with inconsistent charging results in an unsatisfying experience daily.||The software is poor and the charging does not offer good reliability sadly.||The heating underperforms sometimes and the charging feels weaker than expected overall.",https://www.flipkart.com/google-phones,50.0
Moto Edge 50 Ultra,Motorola,75604.1,Android,photography,"Excellent display quality and the design makes the phone enjoyable for long usage.||Unexpectedly impressive battery quality and the heating works flawlessly even under stress.||The screen underperforms sometimes and the camera feels weaker than expected overall.||Very happy with the strong display and the usability experience every single day.||Nothing special but usability and heating work normally for basic phone requirements.||Unexpectedly impressive portability quality and the usability works flawlessly even under stress.||The portability is horrible and the charging makes the entire device annoying to use.||Bad design with extremely poor display, this phone should be avoided at all costs.||The screen gives trouble and the audio feels disappointing compared to other phones.||The performance is horrible and the display makes the entire device annoying to use.||Very happy with the strong charging and the software experience every single day.",https://www.amazon.in/motorola,50.0
Galaxy M55,Samsung,68425.91,Android,productivity,"Amazing camera and display combination, making this phone feel premium and fast.||The audio is horrible and the battery makes the entire device annoying to use.||Amazing surprise with the excellent camera and the battery functioning smoothly always.||Terrible display performance and the charging feels broken, this phone is unacceptable.||The design is fine and the charging works decently for normal tasks daily.||I love the reliable usability and the display works perfectly in all situations.||Very frustrating charging and the performance constantly lags making usage extremely irritating.||Very frustrating charging and the portability constantly lags making usage extremely irritating.||Nothing special but display and portability work normally for basic phone requirements.||Surprisingly strong audio and the performance performs far better than I expected initially.||Did not expect such great portability and battery, this phone truly shocked me.",https://www.amazon.in/samsung,50.0
Realme GT 6,Realme,158421.54,Android,gaming,"Did not expect such great design and portability, this phone truly shocked me.||Surprisingly strong software and the charging performs far better than I expected initially.||Moderate portability and acceptable performance, suitable for everyday simple activities.||Weak display paired with inconsistent software results in an unsatisfying experience daily.||Surprisingly strong portability and the usability performs far better than I expected initially.||The battery underperforms sometimes and the display feels weaker than expected overall.||Terrible battery performance and the software feels broken, this phone is unacceptable.||Weak usability paired with inconsistent screen results in an unsatisfying experience daily.||Nothing special but software and heating work normally for basic phone requirements.||The battery is horrible and the camera makes the entire device annoying to use.||Bad battery with extremely poor heating, this phone should be avoided at all costs.||I love the reliable portability and the charging works perfectly in all situations.||Bad heating with extremely poor display, this phone should be avoided at all costs.||Disappointed with the slow charging and the heating which struggles during long use.",https://www.amazon.in/realme,30.0
iPhone 15,Apple,61008.63,iOS,photography,"Very happy with the strong screen and the display experience every single day.||The portability is horrible and the screen makes the entire device annoying to use.||Amazing design and portability combination, making this phone feel premium and fast.||Nothing special but heating and battery work normally for basic phone requirements.||Did not expect such great design and camera, this phone truly shocked me.||The charging underperforms sometimes and the camera feels weaker than expected overall.||The battery is impressive and the charging performance feels smooth during everyday use.||The software is poor and the audio does not offer good reliability sadly.||Terrible software performance and the battery feels broken, this phone is unacceptable.||The heating underperforms sometimes and the battery feels weaker than expected overall.||The usability feels okay and the design delivers a standard experience overall.",https://www.flipkart.com/apple-phones,40.0
OnePlus 12,OnePlus,21415.32,Android,gaming,"The performance gives trouble and the design feels disappointing compared to other phones.||Excellent design quality and the screen makes the phone enjoyable for long usage.||The charging underperforms sometimes and the heating feels weaker than expected overall.||Nothing special but portability and software work normally for basic phone requirements.||Did not expect such great usability and camera, this phone truly shocked me.||Very frustrating usability and the charging constantly lags making usage extremely irritating.||Wow, the display performance and the heating efficiency were much better than expected.||Nothing special but audio and camera work normally for basic phone requirements.||The portability underperforms sometimes and the camera feels weaker than expected overall.||The design is horrible and the audio makes the entire device annoying to use.||The display is poor and the usability does not offer good reliability sadly.",https://www.amazon.in/oneplus,30.0
Pixel 8,Google,46135.53,Android,productivity,"Did not expect such great usability and performance, this phone truly shocked me.||Wow, the usability performance and the charging efficiency were much better than expected.||The screen feels okay and the portability delivers a standard experience overall.||Average battery performance paired with a stable software suitable for casual users.||The design is fine and the camera works decently for normal tasks daily.||Surprisingly strong heating and the portability performs far better than I expected initially.||Excellent battery quality and the display makes the phone enjoyable for long usage.||Surprisingly strong usability and the design performs far better than I expected initially.||Terrible design performance and the screen feels broken, this phone is unacceptable.||Unexpectedly impressive display quality and the heating works flawlessly even under stress.||The battery feels okay and the software delivers a standard experience overall.",https://www.flipkart.com/google-phones,70.0
iPhone 16,Apple,162240.01,iOS,gaming,"Terrible software performance and the camera feels broken, this phone is unacceptable.||Terrible performance performance and the usability feels broken, this phone is unacceptable.||Surprisingly strong performance and the software performs far better than I expected initially.||The audio is horrible and the charging makes the entire device annoying to use.||Worst software ever and the camera completely ruins the experience every minute.||The battery is poor and the usability does not offer good reliability sadly.||Very happy with the strong heating and the battery experience every single day.||The portability gives trouble and the software feels disappointing compared to other phones.||Did not expect such great software and heating, this phone truly shocked me.||The display gives trouble and the usability feels disappointing compared to other phones.||The performance is horrible and the usability makes the entire device annoying to use.||Surprisingly strong battery and the software performs far better than I expected initially.||Moderate software and acceptable portability, suitable for everyday simple activities.",https://www.flipkart.com/apple-phones,40.0
Galaxy S24 Ultra,Samsung,133228.19,Android,productivity,"The screen underperforms sometimes and the portability feels weaker than expected overall.||Excellent performance quality and the battery makes the phone enjoyable for long usage.||The software gives trouble and the battery feels disappointing compared to other phones.||Average camera performance paired with a stable usability suitable for casual users.||Moderate audio and acceptable software, suitable for everyday simple activities.||The display is horrible and the portability makes the entire device annoying to use.||The performance underperforms sometimes and the heating feels weaker than expected overall.||The design is impressive and the heating performance feels smooth during everyday use.||Unexpectedly impressive portability quality and the software works flawlessly even under stress.||Surprisingly strong screen and the display performs far better than I expected initially.||The design is horrible and the display makes the entire device annoying to use.||The design is fine and the usability works decently for normal tasks daily.||Average portability performance paired with a stable software suitable for casual users.",https://www.amazon.in/samsung,50.0
OnePlus 12R,OnePlus,78007.4,Android,casual,"Nothing special but portability and screen work normally for basic phone requirements.||Moderate software and acceptable heating, suitable for everyday simple activities.||Bad usability with extremely poor software, this phone should be avoided at all costs.||The charging gives trouble and the heating feels disappointing compared to other phones.||Excellent audio quality and the portability makes the phone enjoyable for long usage.||The performance underperforms sometimes and the charging feels weaker than expected overall.||Excellent screen quality and the heating makes the phone enjoyable for long usage.||Bad usability with extremely poor display, this phone should be avoided at all costs.||The camera is fine and the performance works decently for normal tasks daily.||Amazing surprise with the excellent heating and the usability functioning smoothly always.||The portability is horrible and the screen makes the entire device annoying to use.||Weak screen paired with inconsistent camera results in an unsatisfying experience daily.",https://www.amazon.in/oneplus,40.0
Moto Edge 50 Ultra,Motorola,113515.81,Android,gaming,"Amazing surprise with the excellent camera and the audio functioning smoothly always.||Moderate camera and acceptable battery, suitable for everyday simple activities.||The software is impressive and the design performance feels smooth during everyday use.||Excellent audio quality and the portability makes the phone enjoyable for long usage.||Weak charging paired with inconsistent design results in an unsatisfying experience daily.||Bad audio with extremely poor camera, this phone should be avoided at all costs.||Amazing surprise with the excellent usability and the display functioning smoothly always.||Unexpectedly impressive charging quality and the heating works flawlessly even under stress.||Very happy with the strong battery and the charging experience every single day.||The performance is impressive and the portability performance feels smooth during everyday use.||Nothing special but performance and battery work normally for basic phone requirements.||Amazing performance and usability combination, making this phone feel premium and fast.||Excellent charging quality and the usability makes the phone enjoyable for long usage.||Disappointed with the slow battery and the portability which struggles during long use.",https://www.amazon.in/motorola,70.0
iPhone 17 Pro Max,Apple,90952.37,iOS,entertainment,"The battery is impressive and the usability performance feels smooth during everyday use.||Amazing surprise with the excellent charging and the design functioning smoothly always.||Bad display with extremely poor heating, this phone should be avoided at all costs.||Surprisingly strong camera and the design performs far better than I expected initially.||The display gives trouble and the performance feels disappointing compared to other phones.||Amazing screen and portability combination, making this phone feel premium and fast.||Bad camera with extremely poor usability, this phone should be avoided at all costs.||The usability underperforms sometimes and the heating feels weaker than expected overall.||Moderate performance and acceptable camera, suitable for everyday simple activities.||Did not expect such great performance and software, this phone truly shocked me.",https://www.flipkart.com/apple-phones,50.0
iPhone 15,Apple,61747.86,iOS,entertainment,"Excellent performance quality and the audio makes the phone enjoyable for long usage.||Wow, the design performance and the portability efficiency were much better than expected.||The heating is impressive and the usability performance feels smooth during everyday use.||Surprisingly strong battery and the heating performs far better than I expected initially.||Moderate screen and acceptable heating, suitable for everyday simple activities.||The performance gives trouble and the display feels disappointing compared to other phones.||The heating is horrible and the software makes the entire device annoying to use.||The camera underperforms sometimes and the screen feels weaker than expected overall.||Worst battery ever and the portability completely ruins the experience every minute.||The software is poor and the camera does not offer good reliability sadly.||Excellent portability quality and the camera makes the phone enjoyable for long usage.||Did not expect such great battery and heating, this phone truly shocked me.||Average battery performance paired with a stable design suitable for casual users.||The performance feels okay and the display delivers a standard experience overall.",https://www.flipkart.com/apple-phones,60.0
iPhone 17,Apple,26522.01,iOS,entertainment,"The software feels okay and the portability delivers a standard experience overall.||The charging is fine and the screen works decently for normal tasks daily.||Moderate heating and acceptable performance, suitable for everyday simple activities.||I love the reliable software and the design works perfectly in all situations.||The design is poor and the performance does not offer good reliability sadly.||The screen is fine and the audio works decently for normal tasks daily.||The charging is fine and the usability works decently for normal tasks daily.||Bad audio with extremely poor software, this phone should be avoided at all costs.||The battery is horrible and the heating makes the entire device annoying to use.||Did not expect such great design and camera, this phone truly shocked me.||Very frustrating performance and the usability constantly lags making usage extremely irritating.||The camera gives trouble and the software feels disappointing compared to other phones.||Average display performance paired with a stable screen suitable for casual users.||Surprisingly strong portability and the camera performs far better than I expected initially.||Terrible display performance and the design feels broken, this phone is unacceptable.",https://www.flipkart.com/apple-phones,50.0
iPhone 17 Pro,Apple,15912.48,iOS,photography,"Terrible usability performance and the heating feels broken, this phone is unacceptable.||The performance feels okay and the audio delivers a standard experience overall.||The usability is horrible and the performance makes the entire device annoying to use.||I love the reliable charging and the display works perfectly in all situations.||Bad design with extremely poor software, this phone should be avoided at all costs.||Terrible camera performance and the performance feels broken, this phone is unacceptable.||The audio is poor and the screen does not offer good reliability sadly.||Surprisingly strong battery and the performance performs far better than I expected initially.||Excellent camera quality and the portability makes the phone enjoyable for long usage.||Amazing surprise with the excellent audio and the battery functioning smoothly always.",https://www.flipkart.com/apple-phones,50.0
Galaxy S25 Ultra,Samsung,76952.05,Android,photography,"I love the reliable audio and the battery works perfectly in all situations.||The audio is poor and the battery does not offer good reliability sadly.||Nothing special but screen and battery work normally for basic phone requirements.||Very happy with the strong performance and the camera experience every single day.||The display is poor and the performance does not offer good reliability sadly.||Excellent screen quality and the camera makes the phone enjoyable for long usage.||Excellent heating quality and the display makes the phone enjoyable for long usage.||Disappointed with the slow audio and the battery which struggles during long use.||Nothing special but software and camera work normally for basic phone requirements.||Disappointed with the slow camera and the usability which struggles during long use.||Wow, the camera performance and the display efficiency were much better than expected.||Terrible heating performance and the display feels broken, this phone is unacceptable.||Did not expect such great charging and battery, this phone truly shocked me.",https://www.amazon.in/samsung,50.0
Galaxy S25,Samsung,63352.49,Android,casual,"Nothing special but audio and software work normally for basic phone requirements.||Worst audio ever and the portability completely ruins the experience every minute.||Worst usability ever and the charging completely ruins the experience every minute.||Terrible heating performance and the portability feels broken, this phone is unacceptable.||Amazing screen and usability combination, making this phone feel premium and fast.||Bad heating with extremely poor charging, this phone should be avoided at all costs.||Very frustrating audio and the design constantly lags making usage extremely irritating.||I love the reliable battery and the performance works perfectly in all situations.||Disappointed with the slow battery and the audio which struggles during long use.||The camera feels okay and the heating delivers a standard experience overall.||Bad portability with extremely poor audio, this phone should be avoided at all costs.||Terrible performance performance and the software feels broken, this phone is unacceptable.",https://www.amazon.in/samsung,30.0
Realme GT 6,Realme,22253.69,Android,productivity,"Weak audio paired with inconsistent charging results in an unsatisfying experience daily.||Wow, the usability performance and the heating efficiency were much better than expected.||The audio is horrible and the performance makes the entire device annoying to use.||Very frustrating charging and the software constantly lags making usage extremely irritating.||Surprisingly strong performance and the heating performs far better than I expected initially.||Did not expect such great usability and screen, this phone truly shocked me.||Excellent portability quality and the usability makes the phone enjoyable for long usage.||The heating underperforms sometimes and the screen feels weaker than expected overall.||Weak display paired with inconsistent screen results in an unsatisfying experience daily.||Average portability performance paired with a stable software suitable for casual users.||Terrible audio performance and the charging feels broken, this phone is unacceptable.||Nothing special but audio and display work normally for basic phone requirements.||The design gives trouble and the screen feels disappointing compared to other phones.||Disappointed with the slow heating and the audio which struggles during long use.",https://www.amazon.in/realme,30.0
Galaxy A56,Samsung,157124.32,Android,entertainment,"Worst usability ever and the camera completely ruins the experience every minute.||The screen is impressive and the heating performance feels smooth during everyday use.||Unexpectedly impressive screen quality and the design works flawlessly even under stress.||The portability is poor and the design does not offer good reliability sadly.||Did not expect such great display and camera, this phone truly shocked me.||Amazing surprise with the excellent software and the design functioning smoothly always.||Worst portability ever and the battery completely ruins the experience every minute.||Amazing heating and camera combination, making this phone feel premium and fast.||Excellent design quality and the charging makes the phone enjoyable for long usage.||Very frustrating display and the camera constantly lags making usage extremely irritating.",https://www.amazon.in/samsung,50.0
Oppo Find X7 Pro,Oppo,99118.33,Android,entertainment,"Weak software paired with inconsistent audio results in an unsatisfying experience daily.||The design is horrible and the portability makes the entire device annoying to use.||Did not expect such great battery and heating, this phone truly shocked me.||Moderate software and acceptable usability, suitable for everyday simple activities.||Disappointed with the slow screen and the audio which struggles during long use.||Bad software with extremely poor screen, this phone should be avoided at all costs.||Average design performance paired with a stable heating suitable for casual users.||Wow, the heating performance and the software efficiency were much better than expected.||Wow, the design performance and the heating efficiency were much better than expected.||Very frustrating audio and the screen constantly lags making usage extremely irritating.",https://www.flipkart.com/oppo-phones,50.0
iPhone 16,Apple,156156.17,iOS,gaming,"Moderate display and acceptable portability, suitable for everyday simple activities.||Terrible design performance and the usability feels broken, this phone is unacceptable.||Amazing surprise with the excellent charging and the performance functioning smoothly always.||Did not expect such great heating and portability, this phone truly shocked me.||Excellent performance quality and the heating makes the phone enjoyable for long usage.||Excellent charging quality and the camera makes the phone enjoyable for long usage.||The portability feels okay and the heating delivers a standard experience overall.||Surprisingly strong heating and the performance performs far better than I expected initially.||Did not expect such great battery and screen, this phone truly shocked me.||The software is fine and the charging works decently for normal tasks daily.",https://www.flipkart.com/apple-phones,70.0
Redmi Note 13 Pro,Xiaomi,39337.9,Android,casual,"Very happy with the strong battery and the software experience every single day.||Did not expect such great usability and screen, this phone truly shocked me.||The display feels okay and the screen delivers a standard experience overall.||Very frustrating design and the charging constantly lags making usage extremely irritating.||Surprisingly strong design and the audio performs far better than I expected initially.||Very happy with the strong charging and the portability experience every single day.||Disappointed with the slow usability and the heating which struggles during long use.||The battery is fine and the software works decently for normal tasks daily.||Very happy with the strong software and the usability experience every single day.||Amazing performance and portability combination, making this phone feel premium and fast.",https://www.amazon.in/xiaomi,70.0
Sony Xperia 1 VI,Sony,83498.87,Android,productivity,"Did not expect such great charging and software, this phone truly shocked me.||Excellent screen quality and the display makes the phone enjoyable for long usage.||The software is fine and the screen works decently for normal tasks daily.||Wow, the portability performance and the camera efficiency were much better than expected.||The heating underperforms sometimes and the charging feels weaker than expected overall.||Average performance performance paired with a stable camera suitable for casual users.||I love the reliable portability and the charging works perfectly in all situations.||Surprisingly strong heating and the battery performs far better than I expected initially.||Amazing software and portability combination, making this phone feel premium and fast.||The usability is fine and the software works decently for normal tasks daily.||Amazing surprise with the excellent software and the battery functioning smoothly always.||Nothing special but performance and screen work normally for basic phone requirements.||Disappointed with the slow screen and the software which struggles during long use.||Nothing special but portability and charging work normally for basic phone requirements.||Very frustrating usability and the heating constantly lags making usage extremely irritating.",https://www.amazon.in/sony-mobile-phones,60.0
Moto G 2025,Motorola,141132.8,Android,gaming,"Very frustrating heating and the performance constantly lags making usage extremely irritating.||Amazing charging and software combination, making this phone feel premium and fast.||Wow, the display performance and the heating efficiency were much better than expected.||Nothing special but camera and portability work normally for basic phone requirements.||I love the reliable camera and the heating works perfectly in all situations.||Excellent battery quality and the display makes the phone enjoyable for long usage.||The audio feels okay and the portability delivers a standard experience overall.||Weak portability paired with inconsistent performance results in an unsatisfying experience daily.||Did not expect such great battery and software, this phone truly shocked me.||Weak audio paired with inconsistent usability results in an unsatisfying experience daily.||Unexpectedly impressive performance quality and the display works flawlessly even under stress.||Nothing special but design and camera work normally for basic phone requirements.||Terrible screen performance and the design feels broken, this phone is unacceptable.||The display is fine and the software works decently for normal tasks daily.||Did not expect such great display and design, this phone truly shocked me.",https://www.amazon.in/motorola,60.0
iPhone 15,Apple,33973.76,iOS,gaming,"Excellent camera quality and the screen makes the phone enjoyable for long usage.||The charging feels okay and the audio delivers a standard experience overall.||Did not expect such great heating and performance, this phone truly shocked me.||The software underperforms sometimes and the charging feels weaker than expected overall.||Average portability performance paired with a stable display suitable for casual users.||Very frustrating camera and the usability constantly lags making usage extremely irritating.||Surprisingly strong portability and the performance performs far better than I expected initially.||The performance is fine and the design works decently for normal tasks daily.||The audio gives trouble and the display feels disappointing compared to other phones.||Terrible charging performance and the heating feels broken, this phone is unacceptable.||Average charging performance paired with a stable design suitable for casual users.||Moderate portability and acceptable battery, suitable for everyday simple activities.||Terrible battery performance and the software feels broken, this phone is unacceptable.",https://www.flipkart.com/apple-phones,50.0
Oppo Reno 12,Oppo,119826.88,Android,photography,I love the reliable usability and the audio works perfectly in all situations.||Amazing surprise with the excellent heating and the audio functioning smoothly always.||The audio is horrible and the performance makes the entire device annoying to use.||The usability is horrible and the software makes the entire device annoying to use.||The performance is poor and the camera does not offer good reliability sadly.||Unexpectedly impressive display quality and the design works flawlessly even under stress.||Nothing special but design and audio work normally for basic phone requirements.||The battery is horrible and the heating makes the entire device annoying to use.||I love the reliable battery and the camera works perfectly in all situations.||Surprisingly strong heating and the charging performs far better than I expected initially.||Surprisingly strong usability and the battery performs far better than I expected initially.,https://www.flipkart.com/oppo-phones,60.0
